Keyphrase,Ground Truth,Score

end of document

graph based reconstruction,graph cuts

end of document

end of document

end of document

end of document

end of document

atomic kinetic energy,atomic scale

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

density effect,bishops effective stress

end of document

end of document

end of document

end of document

end of document

unknown dynamics,adaptive dynamic programming

end of document

end of document

end of document

end of document

end of document

end of document

supercritical process,branching process

end of document

end of document

end of document

end of document

automobile tire,pneumatic tires

end of document

end of document

end of document

end of document

end of document

end of document

end of document

minimum average variance estimation,l and m estimation

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

level bitopology,alpha bitopologically generated

end of document

security and privacy,security

end of document

end of document

directed network of data blocks,forward network

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

filter sqp method,filter

end of document

end of document

end of document

end of document

end of document

end of document

end of document

template matching,rib matching

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

l labeling,l ( <digit>

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

speech synthesis,hmm based speech synthesis

model adaptation,speaker adaptation

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

face recognition,face misalignment

end of document

end of document

end of document

end of document

end of document

distributed arrival time control,just in time production

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

frequent itemset mining,two phase mining

end of document

end of document

end of document

end of document

end of document

concurrent programs,concurrency

end of document

end of document

end of document

end of document

end of document

e commerce initiatives,b to b e commerce

focus of e commerce,b to b e commerce

end of document

end of document

end of document

end of document

end of document

end of document

end of document

matrix elements,finite element method

multi channel scattering,multi channel adiabatic approximation

end of document

end of document

end of document

immersed boundary,immersed boundary lattice boltzmann method

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

end of document

